,Movie Name,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross Collection,Certification,votes
146,The Fugitive, Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore,Action, Crime, Drama,183.88,PG-13 ,"304,775"
147,Captain Phillips, Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener,Action, Biography, Crime,107.10,PG-13 ,"473,626"
148,The Last Samurai, Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton,Action, Drama,Nan,111.11,R ,"452,374"
149,Big Hero 6, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller,Animation, Action, Adventure,222.53,PG ,"477,021"
150,I Saw the Devil, Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun,Action, Crime, Drama,0.13,Not Rated ,"137,247"
151,Serenity, Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk,Action, Adventure, Sci-Fi,25.51,PG-13 ,"300,363"
152,The Fighter, Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo,Action, Biography, Drama,93.62,R ,"377,173"
153,Thirteen Lives, Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman,Action, Adventure, Biography,Nan,PG-13 ,"60,787"
154,How to Train Your Dragon 2, Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson,Animation, Action, Adventure,177.00,PG ,"347,860"
155,The Chaser, Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong,Action, Crime, Drama,Nan,Not Rated ,"69,230"
156,Ninja Scroll, Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka,Animation, Action, Adventure,Nan,Not Rated ,"38,902"
157,Batman: Mask of the Phantasm, Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach,Animation, Action, Adventure,5.62,PG ,"53,558"
158,"Aguirre, the Wrath of God", Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro,Action, Adventure, Biography,Nan,Not Rated ,"59,152"
159,Cowboy Bebop: The Movie, Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera,Animation, Action, Crime,1.00,TV-14 ,"50,688"
160,The Killer, Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu,Action, Crime, Drama,Nan,R ,"49,600"
161,Knockin' on Heaven's Door, Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu,Action, Crime, Comedy,0.00,Not Rated ,"32,107"
162,Minnal Murali, Tovino Thomas, Guru Somasundaram, Aju Varghese, Baiju,Action, Comedy, Drama,Nan,TV-14 ,"31,106"
163,Avatar: The Way of Water, Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,Action, Adventure, Fantasy,659.68,PG-13 ,"388,060"
164,Kingsman: The Secret Service, Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine,Action, Adventure, Comedy,128.26,R ,"687,034"
